date,venue,race_no,race_id,candidate_rank,buy,trifecta_prob_approx,trifecta_odds,stake_yen,trifecta_return_yen,trifecta_profit_yen,loss_amount_yen,expected_profit_yen
2026-06-30,平塚,3,033520260630,7,2-1-4,0.013576653476154724,1045.5,100,104550,104450,100,1319
2026-06-30,平塚,3,033520260630,8,2-1-5,0.013576653476154724,834.7,100,83470,83370,100,1033
2026-06-30,平塚,4,043520260630,1,4-5-3,0.0449419037906687,220.4,100,22040,21940,100,891
2026-06-30,平塚,4,043520260630,2,5-4-3,0.0449419037906687,659.7,100,65970,65870,100,2865
2026-06-30,平塚,4,043520260630,3,4-5-2,0.0447114324891781,45.0,100,4500,4400,100,101
2026-06-30,平塚,4,043520260630,4,4-5-7,0.0447114324891781,321.6,100,32160,32060,100,1338
2026-06-30,平塚,4,043520260630,5,5-4-2,0.0447114324891781,140.2,100,14020,13920,100,527
2026-06-30,平塚,4,043520260630,6,5-4-7,0.0447114324891781,902.1,100,90210,90110,100,3933
2026-06-30,平塚,4,043520260630,7,4-3-5,0.03097837180035753,290.8,100,29080,28980,100,801
2026-06-30,平塚,4,043520260630,8,5-3-4,0.03097837180035753,562.2,100,56220,56120,100,1642
2026-06-30,平塚,5,053520260630,1,3-5-7,0.015908241188453232,23.1,100,2310,2210,100,-63
2026-06-30,平塚,5,053520260630,2,3-7-5,0.015908241188453232,68.0,100,6800,6700,100,8
2026-06-30,平塚,5,053520260630,3,5-3-7,0.01536834953649363,26.8,100,2680,2580,100,-59
2026-06-30,平塚,5,053520260630,4,7-3-5,0.01536834953649363,141.0,100,14100,14000,100,117
2026-06-30,平塚,5,053520260630,5,5-7-3,0.01469122196693108,25.3,100,2530,2430,100,-63
2026-06-30,平塚,5,053520260630,6,7-5-3,0.01469122196693108,75.5,100,7550,7450,100,11
2026-06-30,平塚,5,053520260630,7,3-5-6,0.014606657818488876,24.9,100,2490,2390,100,-64
2026-06-30,平塚,5,053520260630,8,3-7-6,0.014606657818488876,159.9,100,15990,15890,100,134
2026-06-30,平塚,6,063520260630,1,4-2-3,0.016197587512558807,87.3,100,8730,8630,100,41
2026-06-30,平塚,6,063520260630,2,4-2-5,0.016197587512558807,8.6,100,860,760,100,-86
2026-06-30,平塚,6,063520260630,3,4-3-2,0.016197587512558807,257.3,100,25730,25630,100,317
2026-06-30,平塚,6,063520260630,4,4-3-5,0.016197587512558807,287.4,100,28740,28640,100,366
2026-06-30,平塚,6,063520260630,5,4-5-2,0.016197587512558807,11.8,100,1180,1080,100,-81
2026-06-30,平塚,6,063520260630,6,4-5-3,0.016197587512558807,106.8,100,10680,10580,100,73
2026-06-30,平塚,6,063520260630,7,2-4-3,0.015295412832345437,75.1,100,7510,7410,100,15
2026-06-30,平塚,6,063520260630,8,2-4-5,0.015295412832345437,7.4,100,740,640,100,-89
2026-06-30,平塚,7,073520260630,1,1-6-3,0.009621615148199975,2183.5,100,218350,218250,100,2001
2026-06-30,平塚,7,073520260630,2,1-6-4,0.009621615148199975,3477.5,100,347750,347650,100,3246
2026-06-30,平塚,7,073520260630,3,1-6-2,0.009572273532055359,7412.7,100,741270,741170,100,6996
2026-06-30,平塚,7,073520260630,4,1-6-5,0.009572273532055359,5868.4,100,586840,586740,100,5517
